Latitude,Longitude,
37.8660375,-122.2698541," 2000 DURANT AVE, Berkeley, CA"
37.8542718,-122.2711408,"3000 M L KING JR WAY, Berkeley, CA"
37.8591166,-122.2892381," 2600 SAN PABLO AVE, Berkeley, CA"
37.8651365,-122.2584315," DWIGHT WAY& TELEGRAPH AVE, Berkeley, CA"
37.8557076,-122.2821464,"1400 OREGON ST, Berkeley, CA"
37.8522399,-122.2662278,"3200 SHATTUCK AVE, Berkeley, CA"
37.8521407,-122.286737," ASHBY AVE& SAN PABLO AVE, Berkeley, CA"
37.8472842,-122.2756214," SIXTY-THIRD  ST&  CALIFORNIA ST, Berkeley, CA"
37.8521407,-122.286737," ASHBY AVE& SAN PABLO AVE, Berkeley, CA"
37.8692334,-122.2971448," 1900 SEVENTH ST, Berkeley, CA"
37.8718711,-122.2776232," BERKELEY WAY& WEST ST, Berkeley, CA"
37.850792,-122.270848," ADELINE ST&  FAIRVIEW ST, Berkeley, CA"
37.8555514,-122.2823502," 2800 ACTON ST, Berkeley, CA"
37.8677821,-122.2586435,"TELEGRAPH AVE& DURA NT AVE, Berkeley, CA"
37.8684944,-122.2941347,"1000 UNIVERSITY AVE, Berkeley, CA"
37.8694159,-122.267877," 2100 ALLSTON WAY, Berkeley, CA"
37.8589977,-122.2779618,"1600 DERBY ST, Berkeley, CA"
37.861346,-122.2502661," 2800 FOREST AVE, Berkeley, CA"
37.865689,-122.2539043," 2500 COLLEGE AVE, Berkeley, CA"
37.8630381,-122.2603634," 2600 DANA ST, Berkeley, CA"
37.87571,-122.2978431,"EIGHTH ST&  JONES ST, Berkeley, CA"
37.8692363,-122.2682686," 2200 SHATTUCK AVE, Berkeley, CA"
37.8940995,-122.258286,"GRIZZLY PEAK BLVD& LATHAM LN, Berkeley, CA"
,," 2100 KI TI  REDGE ST, Berkeley, CA"
37.8661738,-122.264512," 2400 ATHERTON ST, Berkeley, CA"
37.8530879,-122.2807013," 3000 DOHR ST, Berkeley, CA"
37.8651489,-122.2654479," 2200 HASTE ST, Berkeley, CA"
37.8779675,-122.2725621,"1600 BON ITA AVE, Berkeley, CA"
37.8936844,-122.2721076,"900 INDIAN ROCK AVE, Berkeley, CA"
37.8927314,-122.2584109,"00 LATHAM LN, Berkeley, CA"
37.8763967,-122.2692408," 1700 SHATTUCK  AVE, Berkeley, CA"
37.8673847,-122.2609578," 2400 DURANT AVE, Berkeley, CA"
